,Market Cap,Current Price,Min Price,Max Price,Total Gain (1YR),Description,Logo,Category,Features,Website,Current Supply,Total Supply,Team Size,ICO Raise
Round,31M,0.037,0.0005,0.23,459,,,,,,,,,
Numeraire,31M,26,18,155,7.61111111111111,,,,,,,,,
ReddCoin,32M,0.0011,0.00002,0.0032,159,,,,,,,,,
IExec RLC,29M,0.36,0.2,1.20,5,,,,,,,,,
Pillar,28M,0.05,0.046,0.07,0.521739130434783,,,,,,,,,
vSlice,29M,0.87,0.05,1.15,22,,,,,,,,,
Wings,27M,0.30,0.02,0.96,47,,,,,,,,,
Humaniq,26M,0.16,0.043,0.21,3.88372093023256,,,,,,,,,
Xaurum,27M,0.21,0.1,0.27,1.7,,,,,,,,,
Melon,26M,44.14,18,114,5.33333333333333,,,,,,,,,
Storj,25M,0.36,0.29,0.89,2.06896551724138,,,,,,,,,
Gulden,26M,0.074,0.002,0.13,64,,,,,,,,,
MonaCoin,25M,0.47,0.025,0.88,34.2,,,,,,,,,
Namecoin,24M,1.66,0.23,3.49,14.1739130434783,,,,,,,,,
LBRY Credits,24M,0.36,0.01,0.90,89,,,,,,,,,
Counterparty ,22M,8.50,1.75,20,10.4285714285714,,,,,,,,,
Peerplays,30M,9.27,4.80,20,3.16666666666667,,,,,,,,,
CloakCoin,17M,3.4,0.038,10.22,267.947368421053,,,,,,,,,
PotCoin,18M,0.085,0.001,0.16,159,,,,,,,,,
BitBay,22M,0.022,0.0005,0.042,83,,,,,,,,,
SIBCoin,19M,1.28,0.01,1.73,172,,,,,,,,,
E-Dinar Coin,31M,0.035,0.02,0.99,48.5,,,,,,,,,
Viacoin,19M,0.87,0.01,1.78,177,,,,,,,,,
Quantum Resistance,16M,0.20,0.18,0.25,0.388888888888889,,,,,,,,,
Omni,17M,30,2.89,74,24.6055363321799,,,,,,,,,
Quantum,16M,0.20,0.2,0.33,0.65,,,,,,,,,
ION,20M,1.28,0.009,2.25,249,,,,,,,,,
Skycoin,17M,3,0.95,4.5,3.73684210526316,,,,,,,,,
GAS,20M,"7,92",7,27,2.85714285714286,This is the currency token for NEO. Might be worth more than ANS/NEO,,,,,,,,
District0x,103M,0.17,0.015,0.17,10.3333333333333,"Decentralized market places, creating eBay with blockchain. Powered by Ethereum, Aragon, and IPFS",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
